Model,MDO34,
Firmware Version,CF:91.1CT FV:v1.6.0,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.02,0.02
Horizontal Delay,0,0
Sample Interval,2E-05,2E-05
Record Length,10000,10000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,30,-43.5
Vertical Scale,1,1
Vertical Position,1.2,-1.74
,,
,,
,,
Label,"",""
TIME,CH1,CH2
-0.1,0.96,1.82
-0.09998,0.96,1.82
-0.09996,1,1.82
-0.09994,1,1.82
-0.09992,1,1.78
-0.0999,0.96,1.82
-0.09988,1,1.78
-0.09986,1,1.82
-0.09984,0.96,1.78
-0.09982,0.96,1.78
-0.0998,0.96,1.78
-0.09978,1,1.74
-0.09976,0.96,1.78
-0.09974,0.96,1.74
-0.09972,1,1.74
-0.0997,0.96,1.74
-0.09968,0.96,1.74
-0.09966,0.96,1.78
-0.09964,1,1.74
-0.09962,0.96,1.74
-0.0996,0.96,1.74
-0.09958,0.96,1.82
-0.09956,0.96,1.74
-0.09954,1,1.74
-0.09952,0.96,1.78
-0.0995,0.96,1.74
-0.09948,1,1.74
-0.09946,0.96,1.74
-0.09944,1,1.74
-0.09942,1,1.74
-0.0994,0.96,1.74
-0.09938,1.04,1.7
-0.09936,0.96,1.7
-0.09934,0.96,1.74
-0.09932,1,1.7
-0.0993,1,1.7
-0.09928,1,1.7
-0.09926,0.96,1.7
-0.09924,1,1.7
-0.09922,0.96,1.7
-0.0992,1,1.7
-0.09918,1,1.7
-0.09916,1,1.7
-0.09914,1,1.7
-0.09912,1,1.7
-0.0991,0.96,1.66
-0.09908,1,1.7
-0.09906,1,1.7
-0.09904,0.96,1.66
-0.09902,0.96,1.7
-0.099,1,1.7
-0.09898,0.96,1.7
-0.09896,1,1.66
-0.09894,0.96,1.66
-0.09892,1,1.66
-0.0989,0.96,1.66
-0.09888,0.96,1.66
-0.09886,1.04,1.66
-0.09884,0.96,1.66
-0.09882,0.96,1.62
-0.0988,1,1.62
-0.09878,1,1.62
-0.09876,1,1.66
-0.09874,1,1.58
-0.09872,0.96,1.62
-0.0987,0.96,1.62
-0.09868,0.96,1.62
-0.09866,1,1.62
-0.09864,0.96,1.58
-0.09862,0.96,1.62
-0.0986,1,1.62
-0.09858,1,1.58
-0.09856,0.96,1.58
-0.09854,1,1.58
-0.09852,0.96,1.58
-0.0985,1,1.62
-0.09848,0.96,1.58
-0.09846,1,1.58
-0.09844,1,1.62
-0.09842,0.96,1.62
-0.0984,1,1.58
-0.09838,0.96,1.58
-0.09836,1,1.58
-0.09834,1,1.62
-0.09832,1,1.58
-0.0983,0.96,1.54
-0.09828,0.96,1.58
-0.09826,1,1.58
-0.09824,1,1.54
-0.09822,1,1.54
-0.0982,0.96,1.54
-0.09818,1,1.54
-0.09816,1,1.54
-0.09814,1,1.54
-0.09812,1,1.54
-0.0981,1,1.54
-0.09808,1.04,1.5
-0.09806,1,1.5
-0.09804,1,1.58
-0.09802,0.96,1.5
-0.098,1,1.5
-0.09798,1,1.54
-0.09796,0.96,1.54
-0.09794,1,1.5
-0.09792,1,1.5
-0.0979,0.96,1.5
-0.09788,0.96,1.5
-0.09786,1,1.5
-0.09784,0.96,1.5
-0.09782,1,1.5
-0.0978,1,1.5
-0.09778,1.04,1.5
-0.09776,1,1.46
-0.09774,0.96,1.46
-0.09772,1,1.46
-0.0977,0.96,1.5
-0.09768,1,1.5
-0.09766,1,1.46
-0.09764,0.96,1.46
-0.09762,0.96,1.46
-0.0976,1,1.46
-0.09758,0.96,1.46
-0.09756,0.96,1.46
-0.09754,0.96,1.46
-0.09752,1,1.46
-0.0975,0.96,1.46
-0.09748,0.96,1.46
-0.09746,1,1.46
-0.09744,0.96,1.42
-0.09742,0.96,1.42
-0.0974,0.96,1.46
-0.09738,0.96,1.42
-0.09736,1,1.46
-0.09734,0.96,1.38
-0.09732,0.96,1.42
-0.0973,1,1.42
-0.09728,0.96,1.42
-0.09726,1,1.42
-0.09724,0.96,1.46
-0.09722,0.96,1.38
-0.0972,0.96,1.38
-0.09718,0.96,1.42
-0.09716,1,1.42
-0.09714,0.96,1.38
-0.09712,0.96,1.38
-0.0971,1,1.38
-0.09708,0.96,1.38
-0.09706,0.96,1.38
-0.09704,0.96,1.38
-0.09702,1,1.38
-0.097,0.96,1.38
-0.09698,1,1.38
-0.09696,0.96,1.38
-0.09694,1,1.38
-0.09692,0.96,1.34
-0.0969,1,1.38
-0.09688,1,1.34
-0.09686,1,1.38
-0.09684,1,1.34
-0.09682,1,1.34
-0.0968,1,1.34
-0.09678,0.96,1.34
-0.09676,1,1.34
-0.09674,0.96,1.38
-0.09672,1,1.38
-0.0967,1,1.34
-0.09668,1,1.34
-0.09666,1,1.34
-0.09664,0.96,1.34
-0.09662,0.96,1.34
-0.0966,1,1.3
-0.09658,1,1.3
-0.09656,1,1.3
-0.09654,1,1.34
-0.09652,1,1.3
-0.0965,0.96,1.34
-0.09648,1,1.3
-0.09646,1,1.3
-0.09644,1,1.3
-0.09642,0.96,1.3
-0.0964,1,1.26
-0.09638,0.96,1.3
-0.09636,1,1.3
-0.09634,1,1.3
-0.09632,0.96,1.3
-0.0963,1,1.26
-0.09628,0.96,1.3
-0.09626,0.96,1.26
-0.09624,0.96,1.34
-0.09622,1,1.26
-0.0962,1,1.22
-0.09618,0.96,1.26
-0.09616,1,1.3
-0.09614,1,1.22
-0.09612,0.96,1.22
-0.0961,1,1.26
-0.09608,1,1.22
-0.09606,0.96,1.22
-0.09604,1,1.26
-0.09602,0.96,1.26
-0.096,1,1.22
-0.09598,1,1.26
-0.09596,1,1.26
-0.09594,0.96,1.22
-0.09592,1,1.22
-0.0959,1,1.22
-0.09588,1,1.22
-0.09586,1.04,1.26
-0.09584,0.96,1.26
-0.09582,0.96,1.22
-0.0958,1,1.22
-0.09578,1,1.22
-0.09576,1,1.22
-0.09574,0.96,1.18
-0.09572,1,1.22
-0.0957,0.96,1.22
-0.09568,1,1.18
-0.09566,0.96,1.22
-0.09564,0.96,1.22
-0.09562,0.96,1.18
-0.0956,1,1.14
-0.09558,1,1.18
-0.09556,0.96,1.18
-0.09554,0.96,1.18
-0.09552,1,1.18
-0.0955,1,1.18
-0.09548,0.96,1.18
-0.09546,1,1.18
-0.09544,0.96,1.18
-0.09542,1,1.18
-0.0954,1,1.14
-0.09538,1,1.18
-0.09536,1,1.18
-0.09534,1,1.14
-0.09532,1,1.18
-0.0953,0.96,1.18
-0.09528,1,1.14
-0.09526,0.96,1.18
-0.09524,0.96,1.14
-0.09522,1,1.14
-0.0952,0.96,1.14
-0.09518,0.96,1.14
-0.09516,1,1.18
-0.09514,1,1.14
-0.09512,1,1.18
-0.0951,1,1.14
-0.09508,0.96,1.14
-0.09506,1,1.14
-0.09504,1,1.14
-0.09502,0.96,1.1
-0.095,0.96,1.14
-0.09498,0.96,1.14
-0.09496,1,1.14
-0.09494,1,1.14
-0.09492,1,1.14
-0.0949,0.96,1.14
-0.09488,1,1.1
-0.09486,1,1.1
-0.09484,1,1.14
-0.09482,1,1.1
-0.0948,1,1.1
-0.09478,1,1.14
-0.09476,0.96,1.1
-0.09474,1,1.1
-0.09472,1,1.06
-0.0947,1,1.1
-0.09468,1,1.1
-0.09466,1,1.06
-0.09464,0.96,1.06
-0.09462,1,1.1
-0.0946,1,1.06
-0.09458,1.04,1.1
-0.09456,0.96,1.1
-0.09454,1,1.06
-0.09452,1,1.1
-0.0945,1,1.1
-0.09448,1,1.1
-0.09446,1,1.06
-0.09444,1.04,1.1
-0.09442,1,1.02
-0.0944,1,1.06
-0.09438,0.96,1.1
-0.09436,0.96,1.06
-0.09434,0.96,1.06
-0.09432,1,1.02
-0.0943,1,1.02
-0.09428,1,1.06
-0.09426,1,1.02
-0.09424,0.96,1.06
-0.09422,1,1.06
-0.0942,1,1.06
-0.09418,1,1.06
-0.09416,1,1.06
-0.09414,1,1.02
-0.09412,1,1.02
-0.0941,1,1.02
-0.09408,0.96,1.02
-0.09406,1,1.06
-0.09404,0.96,1.02
-0.09402,0.96,1.02
-0.094,0.96,1.02
-0.09398,1,1.02
-0.09396,1,1.02
-0.09394,1,1.02
-0.09392,0.96,1.02
-0.0939,0.96,1.02
-0.09388,1,1.02
-0.09386,0.96,1.02
-0.09384,1,1.02
-0.09382,1,1.02
-0.0938,1,1.02
-0.09378,1,1.02
-0.09376,1,0.98
-0.09374,0.96,1.02
-0.09372,1,1.02
-0.0937,0.96,0.98
-0.09368,1,1.02
-0.09366,1,0.98
-0.09364,1,1.02
-0.09362,1,0.98
-0.0936,1,0.98
-0.09358,1,0.98
-0.09356,1,0.98
-0.09354,1,0.94
-0.09352,1,0.94
-0.0935,1,0.98
-0.09348,1,0.98
-0.09346,1,0.98
-0.09344,0.96,0.98
-0.09342,1,0.98
-0.0934,1,0.98
-0.09338,1,0.94
-0.09336,1,0.98
-0.09334,1,0.98
-0.09332,1,0.98
-0.0933,1,0.94
-0.09328,1,0.94
-0.09326,0.96,0.94
-0.09324,1,0.94
-0.09322,1,0.94
-0.0932,1,0.94
-0.09318,1,0.98
-0.09316,1,0.94
-0.09314,1,0.94
-0.09312,0.96,0.9
-0.0931,1,0.94
-0.09308,0.96,0.9
-0.09306,1,0.94
-0.09304,0.96,0.94
-0.09302,0.96,0.9
-0.093,0.96,0.98
-0.09298,1.04,0.94
-0.09296,1,0.9
-0.09294,0.96,0.94
-0.09292,1,0.94
-0.0929,1,0.94
-0.09288,0.96,0.9
-0.09286,1,0.9
-0.09284,1,0.9
-0.09282,1,0.9
-0.0928,0.96,0.9
-0.09278,1,0.94
-0.09276,0.96,0.9
-0.09274,0.96,0.9
-0.09272,0.96,0.9
-0.0927,0.96,0.9
-0.09268,1,0.9
-0.09266,1,0.9
-0.09264,1,0.86
-0.09262,1,0.9
-0.0926,1,0.9
-0.09258,1,0.94
-0.09256,0.96,0.86
-0.09254,1,0.9
-0.09252,1,0.86
-0.0925,0.96,0.86
-0.09248,0.96,0.9
-0.09246,1,0.86
-0.09244,1,0.9
-0.09242,0.96,0.86
-0.0924,1.04,0.86
-0.09238,1,0.86
-0.09236,0.96,0.9
-0.09234,0.96,0.9
-0.09232,1,0.86
-0.0923,1,0.9
-0.09228,0.96,0.86
-0.09226,1,0.86
-0.09224,1,0.9
-0.09222,0.96,0.9
-0.0922,1,0.86
-0.09218,1,0.86
-0.09216,1,0.86
-0.09214,1,0.86
-0.09212,1,0.86
-0.0921,1,0.82
-0.09208,0.96,0.9
-0.09206,0.96,0.86
-0.09204,1.04,0.82
-0.09202,1,0.82
-0.092,1,0.82
-0.09198,1,0.82
-0.09196,1,0.82
-0.09194,1,0.82
-0.09192,1,0.86
-0.0919,1.04,0.86
-0.09188,1,0.82
-0.09186,1,0.82
-0.09184,0.96,0.82
-0.09182,1,0.82
-0.0918,0.96,0.82
-0.09178,0.96,0.82
-0.09176,0.96,0.82
-0.09174,0.96,0.86
-0.09172,1,0.86
-0.0917,1,0.82
-0.09168,0.96,0.78
-0.09166,1,0.82
-0.09164,1,0.78
-0.09162,0.96,0.82
-0.0916,1,0.82
-0.09158,1,0.78
-0.09156,1,0.78
-0.09154,1,0.78
-0.09152,1,0.82
-0.0915,1,0.78
-0.09148,0.96,0.78
-0.09146,1,0.82
-0.09144,0.96,0.78
-0.09142,0.96,0.78
-0.0914,0.96,0.82
-0.09138,1,0.78
-0.09136,1,0.78
-0.09134,1,0.78
-0.09132,1,0.82
-0.0913,1,0.78
-0.09128,0.96,0.78
-0.09126,0.96,0.78
-0.09124,1,0.78
-0.09122,1.04,0.74
-0.0912,0.96,0.78
-0.09118,0.96,0.78
-0.09116,1,0.78
-0.09114,1,0.78
-0.09112,1,0.78
-0.0911,1,0.74
-0.09108,0.96,0.78
-0.09106,0.96,0.74
-0.09104,1,0.74
-0.09102,0.96,0.74
-0.091,1,0.78
-0.09098,1,0.74
-0.09096,0.96,0.78
-0.09094,1,0.78
-0.09092,1,0.74
-0.0909,1,0.78
-0.09088,0.96,0.74
-0.09086,1,0.78
-0.09084,0.96,0.78
-0.09082,0.96,0.74
-0.0908,0.96,0.74
-0.09078,1,0.74
-0.09076,0.96,0.74
-0.09074,1,0.74
-0.09072,1,0.74
-0.0907,0.96,0.74
-0.09068,1,0.7
-0.09066,1,0.74
-0.09064,1,0.74
-0.09062,1,0.7
-0.0906,1,0.7
-0.09058,0.96,0.74
-0.09056,1,0.7
-0.09054,1,0.74
-0.09052,1,0.7
-0.0905,1,0.7
-0.09048,1,0.7
-0.09046,0.96,0.74
-0.09044,1,0.7
-0.09042,1,0.74
-0.0904,1,0.74
-0.09038,0.96,0.7
-0.09036,0.96,0.7
-0.09034,0.96,0.74
-0.09032,0.96,0.7
-0.0903,1,0.7
-0.09028,1,0.7
-0.09026,0.96,0.7
-0.09024,0.96,0.7
-0.09022,1,0.7
-0.0902,1,0.7
-0.09018,1,0.7
-0.09016,1,0.7
-0.09014,1,0.7
-0.09012,1,0.7
-0.0901,1,0.7
-0.09008,1,0.7
-0.09006,1,0.7
-0.09004,1,0.7
-0.09002,1,0.66
-0.09,1,0.7
-0.08998,1,0.66
-0.08996,1,0.7
-0.08994,1,0.7
-0.08992,0.96,0.66
-0.0899,1,0.7
-0.08988,0.96,0.7
-0.08986,1,0.7
-0.08984,0.96,0.66
-0.08982,1,0.66
-0.0898,0.96,0.7
-0.08978,0.96,0.62
-0.08976,1,0.66
-0.08974,1,0.66
-0.08972,1,0.7
-0.0897,0.96,0.66
-0.08968,0.96,0.66
-0.08966,1,0.66
-0.08964,1,0.7
-0.08962,1,0.66
-0.0896,1,0.66
-0.08958,1,0.66
-0.08956,1,0.66
-0.08954,0.96,0.66
-0.08952,1,0.62
-0.0895,0.96,0.66
-0.08948,1,0.66
-0.08946,1,0.66
-0.08944,1,0.66
-0.08942,1,0.66
-0.0894,1,0.66
-0.08938,1,0.66
-0.08936,0.96,0.62
-0.08934,0.96,0.62
-0.08932,1.04,0.66
-0.0893,1,0.66
-0.08928,0.96,0.66
-0.08926,0.96,0.62
-0.08924,1,0.66
-0.08922,0.96,0.62
-0.0892,1,0.62
-0.08918,1,0.62
-0.08916,1,0.62
-0.08914,0.96,0.62
-0.08912,1,0.62
-0.0891,0.96,0.62
-0.08908,1,0.62
-0.08906,1,0.62
-0.08904,0.96,0.62
-0.08902,0.96,0.62
-0.089,0.96,0.58
-0.08898,1,0.58
-0.08896,1,0.62
-0.08894,1,0.58
-0.08892,0.96,0.66
-0.0889,1,0.58
-0.08888,1,0.62
-0.08886,0.96,0.62
-0.08884,1,0.62
-0.08882,1,0.58
-0.0888,0.96,0.58
-0.08878,1,0.62
-0.08876,1,0.58
-0.08874,1.04,0.58
-0.08872,0.96,0.62
-0.0887,1,0.58
-0.08868,1,0.58
-0.08866,0.96,0.62
-0.08864,1,0.58
-0.08862,0.96,0.62
-0.0886,0.96,0.58
-0.08858,0.96,0.58
-0.08856,1,0.62
-0.08854,1,0.62
-0.08852,1,0.58
-0.0885,0.96,0.58
-0.08848,1,0.58
-0.08846,1,0.58
-0.08844,1,0.62
-0.08842,1,0.58
-0.0884,1,0.58
-0.08838,1,0.58
-0.08836,0.96,0.58
-0.08834,1,0.54
-0.08832,0.96,0.58
-0.0883,1,0.58
-0.08828,0.96,0.58
-0.08826,1,0.58
-0.08824,0.96,0.58
-0.08822,1,0.54
-0.0882,0.96,0.58
-0.08818,1.04,0.58
-0.08816,1,0.54
-0.08814,1,0.58
-0.08812,1,0.58
-0.0881,0.96,0.54
-0.08808,0.96,0.58
-0.08806,1,0.58
-0.08804,1,0.58
-0.08802,0.96,0.58
-0.088,0.96,0.54
-0.08798,0.96,0.54
-0.08796,1,0.58
-0.08794,0.96,0.54
-0.08792,1,0.54
-0.0879,0.96,0.54
-0.08788,1,0.54
-0.08786,0.96,0.54
-0.08784,1,0.54
-0.08782,1,0.54
-0.0878,0.96,0.58
-0.08778,1,0.54
-0.08776,1,0.54
-0.08774,1,0.58
-0.08772,1,0.54
-0.0877,1,0.54
-0.08768,1,0.54
-0.08766,0.96,0.58
-0.08764,1,0.54
-0.08762,1,0.54
-0.0876,0.96,0.54
-0.08758,1,0.5
-0.08756,1,0.5
-0.08754,1,0.5
-0.08752,1,0.54
-0.0875,1,0.54
-0.08748,1,0.54
-0.08746,1,0.54
-0.08744,1,0.54
-0.08742,0.96,0.54
-0.0874,1,0.54
