Model,MDO34,
Firmware Version,CF:91.1CT FV:v1.6.0,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,4,4
Horizontal Delay,0,0
Sample Interval,0.004,0.004
Record Length,10000,10000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,46.5,52
Vertical Scale,0.1,0.2
Vertical Position,1.86,2.08
,,
,,
,,
Label,"",""
TIME,CH1,CH2
-20,-0.006,0
-19.996,-0.01,0
-19.992,-0.01,0
-19.988,-0.01,0
-19.984,-0.01,0.008
-19.98,-0.006,0.008
-19.976,-0.01,0
-19.972,-0.01,0.008
-19.968,-0.006,0
-19.964,-0.006,0
-19.96,-0.006,-0.008
-19.956,-0.006,0
-19.952,-0.006,0.008
-19.948,-0.006,0
-19.944,-0.01,0
-19.94,-0.006,0
-19.936,-0.006,0
-19.932,-0.006,0.008
-19.928,-0.01,0
-19.924,-0.002,0
-19.92,-0.006,0
-19.916,-0.006,0
-19.912,-0.006,0
-19.908,-0.002,0
-19.904,-0.006,0.008
-19.9,-0.006,0
-19.896,-0.01,0
-19.892,-0.006,0.008
-19.888,-0.01,0
-19.884,-0.006,0
-19.88,-0.006,0
-19.876,-0.006,0.008
-19.872,-0.006,0.008
-19.868,-0.01,0
-19.864,-0.006,0.008
-19.86,-0.002,0
-19.856,-0.006,0
-19.852,-0.01,0.008
-19.848,-0.006,0.008
-19.844,-0.006,0
-19.84,-0.006,0
-19.836,-0.01,0
-19.832,-0.006,0
-19.828,-0.006,0
-19.824,-0.006,0.008
-19.82,-0.01,0.008
-19.816,-0.006,0
-19.812,-0.006,0
-19.808,-0.006,0
-19.804,-0.006,0
-19.8,-0.01,0
-19.796,-0.006,0
-19.792,-0.01,0
-19.788,-0.006,0.008
-19.784,-0.002,0
-19.78,-0.006,0.008
-19.776,-0.01,0.008
-19.772,-0.006,0.008
-19.768,-0.006,0.008
-19.764,-0.006,0.008
-19.76,-0.006,0
-19.756,-0.002,0
-19.752,-0.006,0
-19.748,-0.006,0
-19.744,-0.006,0.008
-19.74,-0.006,0
-19.736,-0.006,0
-19.732,-0.002,0
-19.728,-0.006,0
-19.724,-0.006,0.008
-19.72,-0.006,0
-19.716,-0.006,0
-19.712,-0.006,0
-19.708,-0.002,0
-19.704,-0.006,0
-19.7,-0.006,0.008
-19.696,-0.006,0
-19.692,-0.006,0
-19.688,-0.006,0.008
-19.684,-0.01,0
-19.68,-0.006,0
-19.676,-0.006,0
-19.672,-0.006,0
-19.668,-0.006,0
-19.664,-0.006,0
-19.66,-0.002,0
-19.656,-0.006,0
-19.652,-0.006,0
-19.648,-0.006,0
-19.644,-0.006,0
-19.64,-0.006,0
-19.636,-0.006,0
-19.632,-0.002,0
-19.628,-0.006,0
-19.624,-0.006,0
-19.62,-0.006,0
-19.616,-0.006,0
-19.612,-0.002,0.008
-19.608,-0.002,0
-19.604,-0.006,0
-19.6,-0.006,0
-19.596,-0.006,0
-19.592,-0.006,0
-19.588,-0.002,0
-19.584,-0.006,0.008
-19.58,-0.006,0
-19.576,-0.006,0.008
-19.572,-0.01,0.008
-19.568,-0.006,0
-19.564,-0.006,0
-19.56,-0.006,0.008
-19.556,-0.006,0
-19.552,-0.006,0
-19.548,-0.002,0
-19.544,-0.006,0
-19.54,-0.002,0
-19.536,-0.002,0
-19.532,-0.006,0
-19.528,-0.002,0.008
-19.524,-0.002,0
-19.52,-0.002,0
-19.516,-0.002,0
-19.512,-0.002,0.008
-19.508,-0.002,0
-19.504,-0.002,0
-19.5,-0.002,0
-19.496,-0.002,0
-19.492,-0.002,0
-19.488,-0.002,0.008
-19.484,-0.002,0
-19.48,-0.002,0
-19.476,0.002,0
-19.472,0.002,0
-19.468,0.002,0
-19.464,-0.006,0
-19.46,0.002,0
-19.456,-0.002,0
-19.452,0.002,0
-19.448,0.002,0
-19.444,0.002,-0.008
-19.44,0.002,0
-19.436,0.002,0
-19.432,0.002,0
-19.428,0.002,0
-19.424,-0.002,0
-19.42,0.002,0
-19.416,-0.002,0.008
-19.412,-0.002,0
-19.408,0.002,0
-19.404,-0.002,0
-19.4,0.002,0
-19.396,-0.002,0
-19.392,0.002,0
-19.388,0.002,0
-19.384,0.002,0
-19.38,0.002,0
-19.376,0.002,0
-19.372,0.002,0
-19.368,-0.002,0
-19.364,0.002,0
-19.36,0.002,0.008
-19.356,0.002,0
-19.352,-0.002,0.008
-19.348,0.002,0
-19.344,0.002,0.008
-19.34,0.006,0
-19.336,-0.002,0.008
-19.332,-0.002,0.008
-19.328,0.002,0
-19.324,0.002,0
-19.32,-0.002,0.008
-19.316,0.002,0
-19.312,-0.002,0
-19.308,0.002,0.008
-19.304,0.002,0
-19.3,-0.006,0
-19.296,0.002,0.008
-19.292,-0.002,0
-19.288,0.002,0
-19.284,0.002,0
-19.28,0.002,0
-19.276,-0.002,0
-19.272,-0.002,0
-19.268,0.002,0.008
-19.264,-0.002,0.008
-19.26,-0.002,0
-19.256,0.002,0
-19.252,-0.002,0
-19.248,-0.002,0.008
-19.244,-0.002,0
-19.24,-0.002,0
-19.236,0.002,0
-19.232,0.002,0
-19.228,-0.002,0.008
-19.224,-0.002,0.008
-19.22,-0.002,0.008
-19.216,-0.002,0
-19.212,-0.002,0
-19.208,-0.002,0
-19.204,-0.002,0
-19.2,0.002,0.008
-19.196,-0.002,0
-19.192,0.002,0.008
-19.188,-0.002,0.008
-19.184,-0.002,0
-19.18,-0.002,0.008
-19.176,-0.002,0
-19.172,-0.002,0.008
-19.168,-0.006,0
-19.164,-0.002,0
-19.16,-0.002,0
-19.156,-0.002,0
-19.152,0.002,0
-19.148,-0.002,0
-19.144,-0.002,0
-19.14,-0.002,0
-19.136,-0.002,0
-19.132,0.002,0
-19.128,-0.002,0
-19.124,-0.006,0
-19.12,-0.002,0
-19.116,-0.002,0
-19.112,-0.002,0
-19.108,0.002,0.008
-19.104,-0.002,0
-19.1,0.002,0
-19.096,-0.002,0.008
-19.092,0.002,0
-19.088,-0.002,0
-19.084,-0.002,0.008
-19.08,0.002,0.008
-19.076,0.002,0
-19.072,0.002,0.008
-19.068,0.002,0.008
-19.064,-0.002,0.008
-19.06,-0.006,0.008
-19.056,-0.002,0
-19.052,0.002,0.008
-19.048,-0.002,0.008
-19.044,0.002,0
-19.04,-0.002,0.008
-19.036,0.002,0.008
-19.032,-0.002,0.008
-19.028,0.002,0
-19.024,0.002,0
-19.02,0.002,0.008
-19.016,0.002,0
-19.012,-0.002,0
-19.008,0.002,0
-19.004,0.002,0.008
-19,-0.002,0.008
-18.996,-0.002,0.008
-18.992,0.002,0.008
-18.988,-0.002,0.016
-18.984,-0.002,0.008
-18.98,-0.002,0
-18.976,-0.002,0
-18.972,-0.002,0
-18.968,-0.002,0.008
-18.964,-0.002,0.008
-18.96,-0.002,0.008
-18.956,-0.002,0.008
-18.952,-0.002,0.008
-18.948,-0.002,0.008
-18.944,-0.002,0.008
-18.94,-0.002,0
-18.936,-0.006,0.008
-18.932,-0.002,0.008
-18.928,-0.006,0.008
-18.924,-0.002,0.008
-18.92,-0.002,0.008
-18.916,-0.002,0.008
-18.912,-0.006,0
-18.908,-0.006,0.008
-18.904,-0.006,0.008
-18.9,-0.006,0.008
-18.896,-0.006,0
-18.892,-0.006,0.008
-18.888,-0.006,0
-18.884,-0.002,0.008
-18.88,-0.006,0.008
-18.876,-0.006,0.008
-18.872,-0.006,0.008
-18.868,-0.002,0.008
-18.864,-0.01,0.008
-18.86,-0.006,0.008
-18.856,-0.006,0
-18.852,-0.006,0.008
-18.848,-0.006,0.008
-18.844,-0.006,0.016
-18.84,-0.006,0
-18.836,-0.006,0.008
-18.832,-0.006,0.008
-18.828,-0.006,0
-18.824,-0.01,0.008
-18.82,-0.006,0.008
-18.816,-0.006,0.008
-18.812,-0.006,0.008
-18.808,-0.006,0.008
-18.804,-0.006,0
-18.8,-0.006,0.008
-18.796,-0.01,0
-18.792,-0.01,0.008
-18.788,-0.01,0.008
-18.784,-0.006,0
-18.78,-0.006,0
-18.776,-0.01,0.008
-18.772,-0.006,0.016
-18.768,-0.01,0.008
-18.764,-0.006,0
-18.76,-0.006,0
-18.756,-0.006,0
-18.752,-0.006,0
-18.748,-0.01,0
-18.744,-0.006,0
-18.74,-0.01,0.008
-18.736,-0.006,0
-18.732,-0.006,0.008
-18.728,-0.006,0.008
-18.724,-0.006,0.008
-18.72,-0.006,0.008
-18.716,-0.006,0
-18.712,-0.006,0.008
-18.708,-0.006,0.008
-18.704,-0.01,0
-18.7,-0.006,0
-18.696,-0.006,0.008
-18.692,-0.006,0.008
-18.688,-0.006,0.008
-18.684,-0.006,0.008
-18.68,-0.006,0.008
-18.676,-0.006,0
-18.672,-0.006,0.008
-18.668,-0.006,0.008
-18.664,-0.006,0
-18.66,-0.006,0.008
-18.656,-0.002,0.008
-18.652,-0.002,0.008
-18.648,-0.006,0
-18.644,-0.006,0.008
-18.64,-0.006,0.008
-18.636,-0.006,0
-18.632,-0.006,0
-18.628,-0.002,0.008
-18.624,-0.006,0.008
-18.62,-0.006,0.008
-18.616,-0.006,0
-18.612,-0.006,0.008
-18.608,-0.006,0.008
-18.604,-0.006,0
-18.6,-0.006,0
-18.596,-0.006,0
-18.592,-0.006,0
-18.588,-0.006,0.008
-18.584,-0.002,0
-18.58,-0.002,0
-18.576,-0.006,0.008
-18.572,-0.002,0.008
-18.568,-0.006,0.008
-18.564,-0.006,0.008
-18.56,-0.002,0.008
-18.556,-0.006,0.008
-18.552,-0.006,0
-18.548,-0.002,0.008
-18.544,-0.002,0
-18.54,-0.006,0
-18.536,-0.006,0
-18.532,-0.002,0
-18.528,-0.006,0.008
-18.524,-0.006,0.008
-18.52,-0.002,0.008
-18.516,-0.002,0.008
-18.512,-0.006,0.008
-18.508,-0.002,0
-18.504,-0.002,0.008
-18.5,-0.002,0
-18.496,-0.006,0
-18.492,-0.006,0
-18.488,-0.002,0
-18.484,-0.002,0.008
-18.48,-0.002,0
-18.476,-0.002,0
-18.472,-0.006,0
-18.468,-0.006,0.008
-18.464,-0.002,0.008
-18.46,-0.006,0.008
-18.456,-0.002,0
-18.452,-0.006,0
-18.448,-0.006,0.008
-18.444,-0.006,0.008
-18.44,-0.006,0.008
-18.436,-0.006,0.008
-18.432,-0.006,0.008
-18.428,-0.006,0.008
-18.424,-0.006,0.008
-18.42,-0.006,0
-18.416,-0.002,0.008
-18.412,-0.002,0.008
-18.408,-0.002,0
-18.404,-0.006,0
-18.4,-0.006,0.008
-18.396,-0.002,0
-18.392,-0.002,0.008
-18.388,-0.006,0
-18.384,-0.006,0
-18.38,-0.006,0.008
-18.376,-0.002,0.008
-18.372,-0.006,0
-18.368,-0.006,0
-18.364,-0.006,0.008
-18.36,-0.01,0
-18.356,-0.006,0
-18.352,-0.006,0.016
-18.348,-0.006,0
-18.344,-0.002,0
-18.34,-0.006,0
-18.336,-0.006,0
-18.332,-0.006,0
-18.328,-0.002,0
-18.324,-0.006,0.008
-18.32,-0.002,-0.008
-18.316,-0.006,0.008
-18.312,-0.006,0.008
-18.308,-0.006,0
-18.304,-0.002,0
-18.3,-0.006,0.008
-18.296,-0.006,0
-18.292,-0.002,0
-18.288,-0.006,0.008
-18.284,-0.002,0.008
-18.28,-0.006,0
-18.276,-0.006,0.008
-18.272,-0.006,0.008
-18.268,-0.002,0
-18.264,-0.006,0.008
-18.26,-0.006,0
-18.256,-0.002,0
-18.252,-0.002,0
-18.248,-0.002,0.008
-18.244,-0.006,0
-18.24,-0.002,0
-18.236,-0.002,0
-18.232,-0.002,0.008
-18.228,-0.002,0
-18.224,-0.002,0.008
-18.22,-0.002,0.008
-18.216,-0.002,0.008
-18.212,-0.002,0
-18.208,-0.002,0
-18.204,-0.002,0.008
-18.2,-0.002,0.008
-18.196,-0.002,0.008
-18.192,-0.002,0
-18.188,-0.002,0.008
-18.184,-0.006,0.008
-18.18,-0.002,0
-18.176,-0.002,0.008
-18.172,-0.002,0
-18.168,-0.002,0.008
-18.164,-0.006,0
-18.16,-0.002,0.008
-18.156,0.002,0
-18.152,-0.002,0.008
-18.148,-0.006,0.008
-18.144,-0.006,0.008
-18.14,-0.006,0.008
-18.136,-0.006,0
-18.132,-0.006,0
-18.128,-0.006,0
-18.124,-0.006,0
-18.12,-0.006,0.008
-18.116,-0.006,0
-18.112,-0.006,0
-18.108,-0.006,0.008
-18.104,-0.006,0
-18.1,-0.01,0.008
-18.096,-0.006,0
-18.092,-0.006,0
-18.088,-0.006,0
-18.084,-0.006,0
-18.08,-0.002,0
-18.076,-0.01,0.008
-18.072,-0.006,0.008
-18.068,-0.006,0
-18.064,-0.006,0.008
-18.06,-0.006,0
-18.056,-0.006,0.008
-18.052,-0.006,0.008
-18.048,-0.006,0
-18.044,-0.002,0
-18.04,-0.006,0.008
-18.036,-0.006,0
-18.032,-0.002,0
-18.028,-0.002,0
-18.024,-0.002,0.008
-18.02,-0.002,0
-18.016,0.002,0
-18.012,-0.006,0
-18.008,-0.002,0.008
-18.004,-0.002,0
-18,-0.002,0
-17.996,-0.002,0.008
-17.992,0.002,0.008
-17.988,-0.002,0.008
-17.984,-0.002,0.008
-17.98,-0.002,0
-17.976,-0.002,0.008
-17.972,-0.002,0.008
-17.968,-0.002,0.008
-17.964,0.002,0.008
-17.96,-0.002,0.008
-17.956,-0.002,0.008
-17.952,0.002,0.008
-17.948,-0.002,0
-17.944,-0.002,0
-17.94,0.002,0.008
-17.936,0.002,0.008
-17.932,0.002,0.008
-17.928,-0.002,0.008
-17.924,-0.002,0.008
-17.92,0.002,0.008
-17.916,-0.002,0.008
-17.912,0.002,0
-17.908,-0.002,0.008
-17.904,-0.002,0
-17.9,0.002,0.008
-17.896,0.002,0.008
-17.892,-0.002,0.008
-17.888,0.002,0
-17.884,-0.002,0.008
-17.88,-0.002,0
-17.876,0.002,0.008
-17.872,0.002,0
-17.868,0.002,0.008
-17.864,-0.002,0.008
-17.86,0.002,0.008
-17.856,-0.002,0.008
-17.852,-0.002,0
-17.848,0.002,0
-17.844,-0.002,0.008
-17.84,0.002,0
-17.836,-0.002,0.008
-17.832,0.002,0.008
-17.828,-0.002,0.008
-17.824,-0.002,0
-17.82,-0.002,0
-17.816,-0.002,0.008
-17.812,-0.002,0
-17.808,-0.002,0.008
-17.804,0.002,0
-17.8,0.002,0
-17.796,-0.002,0.008
-17.792,0.002,0
-17.788,-0.002,0.008
-17.784,-0.002,0
-17.78,-0.002,0
-17.776,-0.002,0.008
-17.772,0.002,0.008
-17.768,0.002,0.008
-17.764,0.002,0
-17.76,0.002,0.008
-17.756,0.002,0
-17.752,0.002,0
-17.748,0.002,0
-17.744,0.002,0
-17.74,0.002,-0.008
-17.736,0.002,0
-17.732,0.002,0.008
-17.728,0.002,0
-17.724,0.002,0.008
-17.72,0.002,0.008
-17.716,0.006,0
-17.712,0.002,0.008
-17.708,0.006,0.008
-17.704,0.002,0
-17.7,0.002,0
-17.696,0.002,0
-17.692,0.002,0.008
-17.688,0.002,0.008
-17.684,0.002,0.008
-17.68,0.002,0.008
-17.676,0.002,0.008
-17.672,0.002,0
-17.668,0.002,0
-17.664,0.002,0
-17.66,0.002,0.008
-17.656,-0.002,0.008
-17.652,-0.002,0.008
-17.648,0.002,0.008
-17.644,-0.002,0
-17.64,-0.002,0
-17.636,0.002,0.008
-17.632,-0.002,0
-17.628,0.002,0.008
-17.624,0.002,0
-17.62,-0.002,0
-17.616,-0.002,0.008
-17.612,0.002,0.008
-17.608,0.002,0.008
-17.604,0.002,0.008
-17.6,0.002,0.008
-17.596,0.002,0
-17.592,0.002,0.008
-17.588,0.002,0.008
-17.584,0.002,0
-17.58,0.002,0
-17.576,0.002,0.008
-17.572,0.002,0
-17.568,-0.002,0.008
-17.564,0.002,0.008
-17.56,0.002,0
-17.556,-0.002,0.008
-17.552,0.002,0.008
-17.548,0.002,0.008
-17.544,0.002,0.008
-17.54,0.002,0.008
-17.536,0.002,0.008
-17.532,0.002,0.008
-17.528,0.002,0
-17.524,-0.002,0
-17.52,0.002,0
-17.516,0.002,0.008
-17.512,0.002,0.008
-17.508,0.002,0.008
-17.504,0.002,0.008
-17.5,0.002,0
-17.496,0.006,0.008
-17.492,0.002,0.008
-17.488,-0.002,0.008
-17.484,0.002,0.008
-17.48,0.002,0.008
-17.476,0.002,0.008
-17.472,0.002,0
-17.468,0.002,-0.008
-17.464,-0.002,0.008
