Model,MDO34,
Firmware Version,CF:91.1CT FV:v1.6.0,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,4,4
Horizontal Delay,0,0
Sample Interval,0.004,0.004
Record Length,10000,10000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,46.5,52
Vertical Scale,0.1,0.2
Vertical Position,1.86,2.08
,,
,,
,,
Label,"",""
TIME,CH1,CH2
-20,0.018,0.008
-19.996,0.022,0.016
-19.992,0.022,0.008
-19.988,0.018,0.016
-19.984,0.022,0.016
-19.98,0.018,0.016
-19.976,0.018,0.016
-19.972,0.022,0.016
-19.968,0.018,0.016
-19.964,0.022,0.016
-19.96,0.014,0.016
-19.956,0.018,0.016
-19.952,0.018,0.016
-19.948,0.014,0.016
-19.944,0.018,0.008
-19.94,0.014,0.008
-19.936,0.018,0.008
-19.932,0.014,0.016
-19.928,0.014,0.008
-19.924,0.018,0.016
-19.92,0.018,0.016
-19.916,0.022,0.016
-19.912,0.018,0.016
-19.908,0.026,0.008
-19.904,0.018,0.008
-19.9,0.018,0.008
-19.896,0.022,0.008
-19.892,0.018,0.016
-19.888,0.018,0.008
-19.884,0.022,0.016
-19.88,0.022,0.008
-19.876,0.022,0.008
-19.872,0.022,0.016
-19.868,0.022,0.016
-19.864,0.018,0.016
-19.86,0.014,0.016
-19.856,0.014,0.008
-19.852,0.022,0.016
-19.848,0.014,0.016
-19.844,0.018,0.016
-19.84,0.014,0.008
-19.836,0.018,0.008
-19.832,0.014,0.024
-19.828,0.014,0.008
-19.824,0.022,0.016
-19.82,0.014,0.016
-19.816,0.018,0.008
-19.812,0.018,0.016
-19.808,0.014,0.016
-19.804,0.018,0.016
-19.8,0.018,0.016
-19.796,0.022,0.016
-19.792,0.018,0.008
-19.788,0.014,0.008
-19.784,0.018,0.016
-19.78,0.014,0.008
-19.776,0.018,0.016
-19.772,0.018,0.008
-19.768,0.018,0.016
-19.764,0.018,0.016
-19.76,0.014,0.016
-19.756,0.018,0.016
-19.752,0.018,0.008
-19.748,0.014,0.008
-19.744,0.018,0.008
-19.74,0.022,0
-19.736,0.026,0.016
-19.732,0.022,0.008
-19.728,0.022,0.008
-19.724,0.022,0.008
-19.72,0.022,0.016
-19.716,0.022,0.008
-19.712,0.022,0.008
-19.708,0.022,0.008
-19.704,0.022,0.008
-19.7,0.022,0.016
-19.696,0.022,0.008
-19.692,0.022,0.008
-19.688,0.022,0.016
-19.684,0.022,0.008
-19.68,0.022,0.008
-19.676,0.022,0.016
-19.672,0.022,0.016
-19.668,0.022,0.016
-19.664,0.022,0.016
-19.66,0.022,0.016
-19.656,0.026,0.016
-19.652,0.022,0.008
-19.648,0.022,0.016
-19.644,0.018,0.008
-19.64,0.022,0.008
-19.636,0.026,0.008
-19.632,0.022,0.008
-19.628,0.026,0.008
-19.624,0.026,0.008
-19.62,0.022,0.008
-19.616,0.022,0.008
-19.612,0.026,0.008
-19.608,0.026,0.008
-19.604,0.026,0.008
-19.6,0.022,0.008
-19.596,0.022,0.016
-19.592,0.022,0.008
-19.588,0.022,0.016
-19.584,0.022,0.008
-19.58,0.022,0.016
-19.576,0.026,0.008
-19.572,0.022,0.016
-19.568,0.022,0.016
-19.564,0.026,0.008
-19.56,0.022,0.016
-19.556,0.026,0.016
-19.552,0.022,0.016
-19.548,0.026,0.016
-19.544,0.026,0.008
-19.54,0.026,0.008
-19.536,0.022,0.016
-19.532,0.026,0.008
-19.528,0.022,0.016
-19.524,0.018,0.008
-19.52,0.022,0.016
-19.516,0.022,0.008
-19.512,0.022,0.008
-19.508,0.022,0.016
-19.504,0.022,0.016
-19.5,0.026,0.016
-19.496,0.022,0.016
-19.492,0.026,0.016
-19.488,0.026,0.008
-19.484,0.026,0.008
-19.48,0.022,0.008
-19.476,0.026,0.008
-19.472,0.018,0.008
-19.468,0.026,0.016
-19.464,0.022,0.008
-19.46,0.026,0.008
-19.456,0.026,0.008
-19.452,0.026,0.008
-19.448,0.022,0.008
-19.444,0.026,0
-19.44,0.022,0.008
-19.436,0.022,0.016
-19.432,0.026,0.008
-19.428,0.018,0.008
-19.424,0.026,0.016
-19.42,0.022,0.008
-19.416,0.022,0.008
-19.412,0.022,0.016
-19.408,0.018,0.008
-19.404,0.018,0.008
-19.4,0.022,0.016
-19.396,0.022,0.008
-19.392,0.022,0.008
-19.388,0.022,0.016
-19.384,0.018,0.008
-19.38,0.022,0.008
-19.376,0.022,0.016
-19.372,0.026,0.008
-19.368,0.022,0.008
-19.364,0.026,0.008
-19.36,0.026,0.008
-19.356,0.026,0.008
-19.352,0.022,0.008
-19.348,0.026,0.008
-19.344,0.022,0.016
-19.34,0.03,0.008
-19.336,0.026,0.008
-19.332,0.026,0.008
-19.328,0.026,0.008
-19.324,0.026,0.008
-19.32,0.022,0.016
-19.316,0.022,0.008
-19.312,0.026,0.008
-19.308,0.026,0.016
-19.304,0.026,0.008
-19.3,0.026,0.008
-19.296,0.026,0.008
-19.292,0.03,0.008
-19.288,0.026,0.008
-19.284,0.026,0.008
-19.28,0.026,0.008
-19.276,0.026,0.008
-19.272,0.022,0.008
-19.268,0.022,0.008
-19.264,0.022,0.008
-19.26,0.022,0.008
-19.256,0.022,0.008
-19.252,0.022,0.008
-19.248,0.022,0.016
-19.244,0.026,0.008
-19.24,0.022,0.016
-19.236,0.022,0.008
-19.232,0.026,0.008
-19.228,0.026,0.008
-19.224,0.026,0.008
-19.22,0.026,0.008
-19.216,0.022,0.008
-19.212,0.022,0.008
-19.208,0.026,0.016
-19.204,0.026,0.008
-19.2,0.026,0
-19.196,0.026,0.008
-19.192,0.026,0
-19.188,0.026,0.008
-19.184,0.026,0.008
-19.18,0.026,0
-19.176,0.022,0.008
-19.172,0.026,0.008
-19.168,0.026,0.008
-19.164,0.022,0.016
-19.16,0.026,0
-19.156,0.026,0.008
-19.152,0.026,0.008
-19.148,0.022,0.008
-19.144,0.022,0
-19.14,0.022,0.008
-19.136,0.022,0.008
-19.132,0.022,0.008
-19.128,0.022,0.008
-19.124,0.022,0.008
-19.12,0.026,0.008
-19.116,0.022,0
-19.112,0.022,0
-19.108,0.022,0
-19.104,0.022,0.008
-19.1,0.018,0.008
-19.096,0.018,0.008
-19.092,0.018,0.008
-19.088,0.018,0.008
-19.084,0.022,0.008
-19.08,0.018,0
-19.076,0.018,0
-19.072,0.018,0.008
-19.068,0.014,0.008
-19.064,0.014,0
-19.06,0.018,0.008
-19.056,0.018,0.008
-19.052,0.018,0.008
-19.048,0.018,0
-19.044,0.018,0
-19.04,0.014,0.008
-19.036,0.018,0.008
-19.032,0.014,0.016
-19.028,0.014,0.008
-19.024,0.018,0.008
-19.02,0.014,0
-19.016,0.014,0.008
-19.012,0.014,0
-19.008,0.014,0
-19.004,0.014,0.008
-19,0.014,0.008
-18.996,0.01,0.016
-18.992,0.01,0.008
-18.988,0.014,0.008
-18.984,0.014,0.008
-18.98,0.014,0
-18.976,0.01,0.016
-18.972,0.014,0.008
-18.968,0.014,0
-18.964,0.014,0.008
-18.96,0.014,0.008
-18.956,0.014,0.008
-18.952,0.01,0.008
-18.948,0.014,0
-18.944,0.014,0
-18.94,0.01,0.008
-18.936,0.01,0.008
-18.932,0.014,0.008
-18.928,0.014,0.008
-18.924,0.01,0.008
-18.92,0.01,0.016
-18.916,0.01,0.016
-18.912,0.01,0.016
-18.908,0.01,0.008
-18.904,0.014,0.008
-18.9,0.006,0.008
-18.896,0.006,0.008
-18.892,0.01,0.008
-18.888,0.006,0
-18.884,0.006,0
-18.88,0.01,0.008
-18.876,0.006,0.008
-18.872,0.006,0.008
-18.868,0.01,0.008
-18.864,0.006,0.008
-18.86,0.006,0.008
-18.856,0.006,0.008
-18.852,0.006,0.008
-18.848,0.002,0.008
-18.844,0.01,0.008
-18.84,0.006,0.008
-18.836,0.006,0.008
-18.832,0.006,0.016
-18.828,0.002,0
-18.824,0.006,0.008
-18.82,0.002,0.008
-18.816,0.002,0.008
-18.812,0.002,0.016
-18.808,-0.002,0
-18.804,0.002,0
-18.8,-0.006,0.008
-18.796,0.002,0
-18.792,0.002,0.008
-18.788,0.002,0.008
-18.784,0.002,0.008
-18.78,0.002,0.008
-18.776,0.002,0.008
-18.772,-0.006,0.008
-18.768,-0.002,0.008
-18.764,-0.002,0.008
-18.76,-0.002,0
-18.756,-0.002,0.008
-18.752,-0.006,0.008
-18.748,0.002,0
-18.744,-0.002,0.008
-18.74,-0.006,0.016
-18.736,-0.002,0.008
-18.732,-0.002,0
-18.728,-0.002,0.008
-18.724,-0.002,0
-18.72,-0.002,0
-18.716,-0.006,0.008
-18.712,-0.002,0.008
-18.708,-0.002,0.008
-18.704,-0.002,0.008
-18.7,-0.006,0
-18.696,-0.002,0
-18.692,0.002,0.008
-18.688,0.002,0.008
-18.684,-0.002,0
-18.68,-0.006,0.008
-18.676,-0.002,0.008
-18.672,-0.006,0
-18.668,-0.006,0.008
-18.664,-0.006,0.008
-18.66,-0.002,0.008
-18.656,-0.002,0
-18.652,-0.002,0.008
-18.648,-0.002,0
-18.644,-0.006,0.008
-18.64,-0.002,0.008
-18.636,-0.002,0
-18.632,-0.002,0
-18.628,-0.002,0
-18.624,-0.002,0.008
-18.62,-0.006,0
-18.616,0.002,0
-18.612,-0.002,0
-18.608,0.002,0
-18.604,-0.002,0
-18.6,-0.002,0.008
-18.596,-0.002,0
-18.592,-0.002,0
-18.588,0.002,0
-18.584,-0.002,0
-18.58,-0.002,0
-18.576,0.002,0
-18.572,-0.006,0
-18.568,-0.002,0
-18.564,-0.002,0.008
-18.56,-0.002,0
-18.556,0.002,0
-18.552,-0.006,0
-18.548,-0.002,0.008
-18.544,-0.006,0.008
-18.54,-0.002,0.008
-18.536,-0.002,0
-18.532,0.002,0
-18.528,0.002,0
-18.524,0.002,0
-18.52,-0.002,0
-18.516,-0.002,0
-18.512,0.002,0.008
-18.508,-0.002,0
-18.504,-0.002,0
-18.5,-0.002,0
-18.496,-0.002,0.008
-18.492,-0.002,0
-18.488,-0.002,0.008
-18.484,-0.002,0.008
-18.48,-0.002,0.008
-18.476,-0.006,0.008
-18.472,-0.006,0.008
-18.468,-0.006,0
-18.464,-0.006,0.008
-18.46,-0.006,0.008
-18.456,-0.006,0.008
-18.452,-0.01,0.008
-18.448,-0.01,0
-18.444,-0.006,0.008
-18.44,-0.01,0.008
-18.436,-0.006,0.008
-18.432,-0.006,0.008
-18.428,-0.01,0.008
-18.424,-0.01,0.008
-18.42,-0.014,0
-18.416,-0.014,0.008
-18.412,-0.01,0
-18.408,-0.01,0.008
-18.404,-0.014,0
-18.4,-0.014,0.008
-18.396,-0.018,0
-18.392,-0.014,0.008
-18.388,-0.014,0
-18.384,-0.018,0.008
-18.38,-0.01,0
-18.376,-0.014,0
-18.372,-0.014,0.008
-18.368,-0.014,0.008
-18.364,-0.014,0.008
-18.36,-0.014,0
-18.356,-0.014,0.008
-18.352,-0.014,0
-18.348,-0.018,0
-18.344,-0.014,0
-18.34,-0.018,0
-18.336,-0.014,0.008
-18.332,-0.018,0.008
-18.328,-0.018,0.008
-18.324,-0.014,0.008
-18.32,-0.014,0.008
-18.316,-0.01,0.008
-18.312,-0.01,0.008
-18.308,-0.01,0.008
-18.304,-0.01,0.008
-18.3,-0.01,0
-18.296,-0.014,0.008
-18.292,-0.01,0.008
-18.288,-0.01,0
-18.284,-0.01,0
-18.28,-0.01,0.008
-18.276,-0.01,0.008
-18.272,-0.01,0.008
-18.268,-0.014,0
-18.264,-0.01,0.008
-18.26,-0.01,0.008
-18.256,-0.01,0
-18.252,-0.01,0
-18.248,-0.01,0
-18.244,-0.01,0
-18.24,-0.014,0.008
-18.236,-0.006,0.008
-18.232,-0.01,0.008
-18.228,-0.01,0
-18.224,-0.01,0.008
-18.22,-0.01,0.008
-18.216,-0.014,0.008
-18.212,-0.006,0
-18.208,-0.006,0
-18.204,-0.006,0.008
-18.2,-0.01,0
-18.196,-0.006,0
-18.192,-0.006,0.008
-18.188,-0.006,0
-18.184,-0.006,0.008
-18.18,-0.006,0.008
-18.176,-0.006,0
-18.172,-0.006,-0.008
-18.168,-0.006,0
-18.164,-0.002,0.008
-18.16,-0.006,0
-18.156,-0.006,0.008
-18.152,-0.006,0.008
-18.148,-0.002,0.008
-18.144,-0.01,0
-18.14,-0.006,0
-18.136,-0.006,0
-18.132,-0.006,0.008
-18.128,-0.006,0
-18.124,-0.006,0
-18.12,-0.006,0.008
-18.116,-0.006,0.008
-18.112,-0.006,0.008
-18.108,-0.01,0
-18.104,-0.006,0.008
-18.1,-0.006,0
-18.096,-0.006,0.008
-18.092,-0.01,0.008
-18.088,-0.006,0
-18.084,-0.006,0.008
-18.08,-0.01,0.008
-18.076,-0.006,0
-18.072,-0.006,0.008
-18.068,-0.01,0.008
-18.064,-0.01,0
-18.06,-0.006,0
-18.056,-0.01,0.008
-18.052,-0.006,0.008
-18.048,-0.006,0.008
-18.044,-0.006,0
-18.04,-0.01,0
-18.036,-0.006,0.008
-18.032,-0.006,0
-18.028,-0.006,0
-18.024,-0.006,0.008
-18.02,-0.006,0.008
-18.016,-0.006,0
-18.012,-0.006,0.008
-18.008,-0.006,0
-18.004,-0.006,0.008
-18,-0.006,0
-17.996,-0.006,0
-17.992,-0.006,0
-17.988,-0.006,0.008
-17.984,-0.006,0.008
-17.98,-0.006,0.008
-17.976,-0.002,0
-17.972,-0.002,0
-17.968,-0.002,0
-17.964,-0.006,0
-17.96,-0.002,0
-17.956,-0.002,0
-17.952,-0.002,0.008
-17.948,-0.002,0.008
-17.944,-0.006,0.008
-17.94,-0.006,0
-17.936,-0.006,0.008
-17.932,-0.002,0
-17.928,-0.002,0
-17.924,-0.002,0.008
-17.92,-0.006,0
-17.916,-0.006,0
-17.912,-0.006,0.008
-17.908,-0.006,0.008
-17.904,-0.002,0.008
-17.9,-0.002,0.008
-17.896,-0.002,0.008
-17.892,-0.006,0
-17.888,-0.002,0
-17.884,-0.006,0.008
-17.88,-0.006,0.008
-17.876,-0.006,0
-17.872,-0.006,0.008
-17.868,-0.002,0
-17.864,-0.006,0
-17.86,-0.01,0
-17.856,-0.006,0.008
-17.852,-0.006,0
-17.848,-0.006,0.008
-17.844,-0.006,0.008
-17.84,-0.006,0.008
-17.836,-0.006,0.008
-17.832,-0.002,0.008
-17.828,-0.006,0.008
-17.824,-0.006,0
-17.82,-0.006,0
-17.816,-0.002,0.008
-17.812,-0.006,0.008
-17.808,-0.006,0.008
-17.804,-0.006,0
-17.8,-0.006,0.008
-17.796,-0.006,0.008
-17.792,-0.006,0
-17.788,-0.006,0.008
-17.784,-0.006,0.008
-17.78,-0.006,0.008
-17.776,-0.006,0.008
-17.772,-0.01,0.008
-17.768,-0.006,0.008
-17.764,-0.006,0
-17.76,-0.01,0.008
-17.756,-0.006,0.008
-17.752,-0.01,0.008
-17.748,-0.006,0.008
-17.744,-0.006,0.008
-17.74,-0.01,0.008
-17.736,-0.006,0.008
-17.732,-0.002,0
-17.728,-0.006,0.008
-17.724,-0.006,0.008
-17.72,-0.006,0.008
-17.716,-0.006,0
-17.712,-0.01,0.008
-17.708,-0.006,0
-17.704,-0.006,0.008
-17.7,-0.006,0.008
-17.696,-0.006,0.008
-17.692,0.002,0.008
-17.688,-0.002,0.008
-17.684,-0.002,0.008
-17.68,0.002,0.016
-17.676,-0.002,0.008
-17.672,-0.002,0.008
-17.668,-0.002,0.008
-17.664,-0.006,0.008
-17.66,-0.002,0.008
-17.656,-0.002,0
-17.652,-0.002,0.008
-17.648,-0.002,0
-17.644,-0.002,0.008
-17.64,-0.002,0
-17.636,0.002,0
-17.632,0.002,0
-17.628,-0.002,0
-17.624,0.002,0.008
-17.62,-0.006,0
-17.616,0.002,0
-17.612,-0.002,0.008
-17.608,0.002,0.008
-17.604,-0.002,0
-17.6,0.002,0.008
-17.596,0.002,0
-17.592,0.002,0.008
-17.588,0.002,0
-17.584,0.002,0.008
-17.58,0.006,0
-17.576,-0.002,0.008
-17.572,0.002,0.008
-17.568,0.002,0.008
-17.564,-0.002,0
-17.56,0.002,0.016
-17.556,-0.002,0
-17.552,-0.002,0
-17.548,0.002,0.008
-17.544,-0.002,0.008
-17.54,-0.002,0.008
-17.536,-0.002,0.008
-17.532,-0.002,0.008
-17.528,-0.002,0.016
-17.524,-0.002,0.008
-17.52,-0.002,0
-17.516,-0.006,0
-17.512,-0.002,0
